Section,Brand,Gender,UK Size,EU Size,US Size,Label/Type,Bust (cm),Bust (in),Waist (cm),Waist (in),Hips (cm),Hips (in),Inside Leg (cm),Inside Leg (in),Notes,Source URL,Authenticity,Source Note
MEN,Hollister UK – Men,Men,W34,86 cm,W34,Jeans/Trousers,,,86.4,34.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Hollister+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Hollister UK – Men,Men,W36,91 cm,W36,Jeans/Trousers,,,91.4,36.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Hollister+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Hollister UK – Men,Men,W38,97 cm,W38,Jeans/Trousers,,,96.5,38.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Hollister+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Hollister UK – Men,Men,W40,102 cm,W40,Jeans/Trousers,,,101.6,40.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Hollister+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Hollister UK – Women,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Hollister+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,In The Style – Women (Tall),Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=In+The+Style+–+Women+(Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W28,71 cm,W28,Jeans/Trousers,,,71.1,28.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W30,76 cm,W30,Jeans/Trousers,,,76.2,30.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W32,81 cm,W32,Jeans/Trousers,,,81.3,32.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W34,86 cm,W34,Jeans/Trousers,,,86.4,34.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W36,91 cm,W36,Jeans/Trousers,,,91.4,36.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W38,97 cm,W38,Jeans/Trousers,,,96.5,38.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Jacamo (Men),Men,W40,102 cm,W40,Jeans/Trousers,,,101.6,40.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Jacamo+(Men)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Jumping Ships – Women,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Jumping+Ships+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Karen Millen Tall,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Karen+Millen+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W28,71 cm,W28,Jeans/Trousers,,,71.1,28.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W30,76 cm,W30,Jeans/Trousers,,,76.2,30.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W32,81 cm,W32,Jeans/Trousers,,,81.3,32.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W34,86 cm,W34,Jeans/Trousers,,,86.4,34.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W36,91 cm,W36,Jeans/Trousers,,,91.4,36.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W38,97 cm,W38,Jeans/Trousers,,,96.5,38.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Lee UK – Men,Men,W40,102 cm,W40,Jeans/Trousers,,,101.6,40.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Lee+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi's,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi's,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,71 / 76 / 81 / 86,28 / 30 / 32 / 34,Standard UK body chart + inseam options,https://www.levi.com/GB/en_GB/info/sizechart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Levi’s,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W28,71 cm,W28,Jeans/Trousers,,,71.1,28.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W30,76 cm,W30,Jeans/Trousers,,,76.2,30.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W32,81 cm,W32,Jeans/Trousers,,,81.3,32.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W34,86 cm,W34,Jeans/Trousers,,,86.4,34.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W36,91 cm,W36,Jeans/Trousers,,,91.4,36.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W38,97 cm,W38,Jeans/Trousers,,,96.5,38.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Levi’s UK – Men,Men,W40,102 cm,W40,Jeans/Trousers,,,101.6,40.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Levi’s+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s UK – Women,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s UK – Women,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s UK – Women,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s UK – Women,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Levi’s UK – Women,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Levi’s+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
